date,open,high,low,close,volume,ma50,ma200
2025-07-21 10:30:00,5.64,5.69,5.64,5.66,18264600,,
2025-07-21 11:30:00,5.66,5.69,5.66,5.67,11420300,,
2025-07-21 14:00:00,5.69,5.7,5.68,5.7,11294400,,
2025-07-21 15:00:00,5.7,5.72,5.69,5.71,15769200,,
2025-07-22 10:30:00,5.71,5.73,5.68,5.71,12252000,,
2025-07-22 11:30:00,5.71,5.74,5.71,5.74,6777400,,
2025-07-22 14:00:00,5.73,5.79,5.73,5.74,19239100,,
2025-07-22 15:00:00,5.74,5.77,5.73,5.77,10431500,,
2025-07-23 10:30:00,5.77,5.81,5.74,5.77,18146900,,
2025-07-23 11:30:00,5.76,5.79,5.76,5.78,6638700,,
2025-07-23 14:00:00,5.79,5.8,5.77,5.77,8519600,,
2025-07-23 15:00:00,5.78,5.78,5.73,5.75,11275400,,
2025-07-24 10:30:00,5.77,5.8,5.73,5.79,19112700,,
2025-07-24 11:30:00,5.79,5.8,5.77,5.78,7270300,,
2025-07-24 14:00:00,5.79,5.8,5.75,5.76,10418200,,
2025-07-24 15:00:00,5.76,5.79,5.76,5.79,9429000,,
2025-07-25 10:30:00,5.79,5.8,5.75,5.78,16725500,,
2025-07-25 11:30:00,5.78,5.78,5.74,5.75,8265700,,
2025-07-25 14:00:00,5.75,5.76,5.73,5.74,4815200,,
2025-07-25 15:00:00,5.74,5.74,5.72,5.72,10474100,,
2025-07-28 10:30:00,5.72,5.74,5.71,5.72,10763300,,
2025-07-28 11:30:00,5.72,5.74,5.7,5.71,9303500,,
2025-07-28 14:00:00,5.71,5.71,5.69,5.7,7976900,,
2025-07-28 15:00:00,5.7,5.72,5.69,5.7,7817800,,
2025-07-29 10:30:00,5.7,5.72,5.68,5.68,11595200,,
2025-07-29 11:30:00,5.69,5.69,5.68,5.68,4668300,,
2025-07-29 14:00:00,5.69,5.71,5.67,5.71,7619500,,
2025-07-29 15:00:00,5.7,5.71,5.68,5.69,11169600,,
2025-07-30 10:30:00,5.69,5.77,5.69,5.76,20938400,,
2025-07-30 11:30:00,5.75,5.79,5.75,5.78,13230000,,
2025-07-30 14:00:00,5.77,5.79,5.75,5.75,12165400,,
2025-07-30 15:00:00,5.75,5.76,5.74,5.74,7224400,,
2025-07-31 10:30:00,5.76,5.76,5.63,5.64,34228500,,
2025-07-31 11:30:00,5.64,5.66,5.63,5.63,9144500,,
2025-07-31 14:00:00,5.63,5.65,5.62,5.65,9241200,,
2025-07-31 15:00:00,5.64,5.65,5.61,5.63,11289100,,
2025-08-01 10:30:00,5.63,5.68,5.62,5.64,11036600,,
2025-08-01 11:30:00,5.65,5.66,5.63,5.63,3914200,,
2025-08-01 14:00:00,5.64,5.64,5.61,5.62,8668200,,
2025-08-01 15:00:00,5.61,5.63,5.61,5.62,7533700,,
2025-08-04 10:30:00,5.61,5.64,5.6,5.63,10885000,,
2025-08-04 11:30:00,5.64,5.65,5.62,5.64,5927200,,
2025-08-04 14:00:00,5.65,5.65,5.62,5.65,6462000,,
2025-08-04 15:00:00,5.64,5.66,5.64,5.66,6316200,,
2025-08-05 10:30:00,5.65,5.68,5.64,5.67,12985500,,
2025-08-05 11:30:00,5.67,5.7,5.67,5.69,9801100,,
2025-08-05 14:00:00,5.68,5.7,5.68,5.69,6056400,,
2025-08-05 15:00:00,5.69,5.7,5.68,5.69,5495400,,
2025-08-06 10:30:00,5.7,5.71,5.66,5.69,7295500,,
2025-08-06 11:30:00,5.69,5.7,5.68,5.7,5215300,5.7054,
2025-08-06 14:00:00,5.69,5.7,5.68,5.69,5272300,5.7059999999999995,
2025-08-06 15:00:00,5.69,5.71,5.69,5.7,8144700,5.706600000000001,
2025-08-07 10:30:00,5.71,5.73,5.69,5.7,15208400,5.706600000000001,
2025-08-07 11:30:00,5.7,5.74,5.69,5.73,8475600,5.706999999999999,
2025-08-07 14:00:00,5.73,5.74,5.72,5.73,4261200,5.7074,
2025-08-07 15:00:00,5.73,5.75,5.72,5.75,11386700,5.7076,
2025-08-08 10:30:00,5.75,5.77,5.73,5.75,11518300,5.7078,
2025-08-08 11:30:00,5.74,5.76,5.74,5.76,3040400,5.7076,
2025-08-08 14:00:00,5.76,5.76,5.74,5.74,4391800,5.706999999999999,
2025-08-08 15:00:00,5.75,5.76,5.74,5.75,7108900,5.7063999999999995,
2025-08-11 10:30:00,5.76,5.77,5.72,5.74,14360500,5.7058,
2025-08-11 11:30:00,5.75,5.76,5.74,5.75,5875900,5.7058,
2025-08-11 14:00:00,5.75,5.76,5.74,5.75,5736900,5.705,
2025-08-11 15:00:00,5.75,5.76,5.75,5.75,6525000,5.704400000000001,
2025-08-12 10:30:00,5.76,5.8,5.75,5.76,12505600,5.7044,
2025-08-12 11:30:00,5.76,5.79,5.76,5.77,5630900,5.704,
2025-08-12 14:00:00,5.77,5.79,5.76,5.78,6316800,5.704,
2025-08-12 15:00:00,5.78,5.78,5.76,5.77,5191400,5.7044,
2025-08-13 10:30:00,5.77,5.77,5.73,5.74,9539700,5.7044,
2025-08-13 11:30:00,5.75,5.76,5.73,5.75,6279000,5.705,
2025-08-13 14:00:00,5.75,5.78,5.75,5.77,7820800,5.7059999999999995,
2025-08-13 15:00:00,5.77,5.77,5.75,5.76,6753700,5.707000000000001,
2025-08-14 10:30:00,5.77,5.79,5.76,5.77,11380400,5.7084,
2025-08-14 11:30:00,5.77,5.77,5.74,5.75,6152700,5.7094000000000005,
2025-08-14 14:00:00,5.75,5.75,5.72,5.73,6215500,5.710400000000001,
2025-08-14 15:00:00,5.72,5.74,5.7,5.7,8994100,5.710800000000001,
2025-08-15 10:30:00,5.7,5.71,5.67,5.68,16115400,5.710200000000001,
2025-08-15 11:30:00,5.67,5.71,5.67,5.7,5275600,5.7104,
2025-08-15 14:00:00,5.71,5.73,5.7,5.72,7107200,5.709599999999999,
2025-08-15 15:00:00,5.72,5.73,5.7,5.72,7818400,5.7084,
2025-08-18 10:30:00,5.72,5.76,5.72,5.73,11790200,5.708000000000001,
2025-08-18 11:30:00,5.74,5.74,5.72,5.74,5766500,5.707999999999999,
2025-08-18 14:00:00,5.74,5.76,5.72,5.72,12341800,5.7096,
2025-08-18 15:00:00,5.73,5.74,5.7,5.72,10458200,5.7114,
2025-08-19 10:30:00,5.73,5.74,5.69,5.71,12527500,5.7126,
2025-08-19 11:30:00,5.7,5.72,5.7,5.7,4336900,5.7139999999999995,
2025-08-19 14:00:00,5.71,5.71,5.69,5.7,6088900,5.715199999999999,
2025-08-19 15:00:00,5.7,5.71,5.69,5.69,7367700,5.7164,
2025-08-20 10:30:00,5.69,5.7,5.66,5.69,8578900,5.7177999999999995,
2025-08-20 11:30:00,5.69,5.72,5.68,5.69,7430600,5.7192,
2025-08-20 14:00:00,5.7,5.72,5.69,5.71,4476700,5.7208000000000006,
2025-08-20 15:00:00,5.71,5.74,5.7,5.74,9625000,5.722800000000001,
2025-08-21 10:30:00,5.74,5.82,5.73,5.82,28229000,5.7262,
2025-08-21 11:30:00,5.81,5.82,5.79,5.79,7681800,5.7288,
2025-08-21 14:00:00,5.8,5.81,5.79,5.8,7274300,5.7314,
2025-08-21 15:00:00,5.79,5.81,5.78,5.81,8402100,5.7338,
2025-08-22 10:30:00,5.81,5.81,5.74,5.75,19079700,5.735,
2025-08-22 11:30:00,5.75,5.78,5.75,5.78,9649900,5.736800000000001,
2025-08-22 14:00:00,5.78,5.8,5.76,5.78,5801300,5.7386,
2025-08-22 15:00:00,5.79,5.8,5.78,5.8,15039400,5.740600000000001,
2025-08-25 10:30:00,5.81,5.87,5.8,5.85,24615900,5.7438,
2025-08-25 11:30:00,5.86,5.87,5.85,5.87,10065000,5.747199999999999,
2025-08-25 14:00:00,5.87,5.89,5.85,5.86,14853600,5.7504,
2025-08-25 15:00:00,5.86,5.87,5.85,5.87,8996200,5.7532000000000005,
2025-08-26 10:30:00,5.87,5.88,5.84,5.85,10487700,5.7556,
2025-08-26 11:30:00,5.86,5.91,5.84,5.9,16922700,5.7586,
2025-08-26 14:00:00,5.89,5.9,5.86,5.87,5952700,5.761,
2025-08-26 15:00:00,5.86,5.88,5.85,5.86,6439000,5.763000000000001,
2025-08-27 10:30:00,5.87,5.88,5.82,5.85,18090400,5.7652,
2025-08-27 11:30:00,5.84,5.86,5.83,5.86,4050300,5.7674,
2025-08-27 14:00:00,5.86,5.86,5.76,5.76,26368800,5.767799999999999,
2025-08-27 15:00:00,5.76,5.8,5.75,5.76,18537900,5.768,
2025-08-28 10:30:00,5.75,5.79,5.73,5.75,19585600,5.768,
2025-08-28 11:30:00,5.75,5.76,5.71,5.72,14600100,5.7674,
2025-08-28 14:00:00,5.72,5.73,5.67,5.68,15687800,5.7658000000000005,
2025-08-28 15:00:00,5.68,5.75,5.68,5.74,12206900,5.765200000000001,
2025-08-29 10:30:00,5.71,5.77,5.69,5.7,44327300,5.7636,
2025-08-29 11:30:00,5.69,5.7,5.64,5.65,29240800,5.7612,
2025-08-29 14:00:00,5.65,5.66,5.63,5.66,13830100,5.759600000000001,
2025-08-29 15:00:00,5.66,5.67,5.62,5.64,21144800,5.7574000000000005,
2025-09-01 10:30:00,5.66,5.67,5.6,5.62,40652200,5.7544,
2025-09-01 11:30:00,5.62,5.64,5.57,5.58,26124200,5.750799999999999,
2025-09-01 14:00:00,5.59,5.59,5.56,5.58,15321900,5.747000000000001,
2025-09-01 15:00:00,5.58,5.6,5.57,5.6,12664000,5.744,
2025-09-02 10:30:00,5.6,5.62,5.58,5.6,17893800,5.7414,
2025-09-02 11:30:00,5.6,5.62,5.57,5.61,14132900,5.7396,
2025-09-02 14:00:00,5.62,5.62,5.58,5.61,7903700,5.738199999999999,
2025-09-02 15:00:00,5.6,5.63,5.6,5.61,9998600,5.7364,
2025-09-03 10:30:00,5.62,5.62,5.55,5.55,23873700,5.7330000000000005,
2025-09-03 11:30:00,5.55,5.57,5.53,5.57,16204900,5.73,
2025-09-03 14:00:00,5.56,5.58,5.54,5.54,8681500,5.7262,
2025-09-03 15:00:00,5.54,5.56,5.53,5.56,10132400,5.722600000000001,
2025-09-04 10:30:00,5.55,5.56,5.49,5.51,19355700,5.7184,
2025-09-04 11:30:00,5.51,5.53,5.49,5.51,9403600,5.714200000000001,
2025-09-04 14:00:00,5.52,5.56,5.51,5.56,9284500,5.7112,
2025-09-04 15:00:00,5.55,5.57,5.52,5.56,12656600,5.7084,
2025-09-05 10:30:00,5.55,5.55,5.51,5.52,14154200,5.7048000000000005,
2025-09-05 11:30:00,5.52,5.52,5.5,5.51,12294500,5.7012,
2025-09-05 14:00:00,5.51,5.53,5.51,5.52,5161100,5.697800000000001,
2025-09-05 15:00:00,5.52,5.54,5.52,5.53,14045800,5.6946,
2025-09-08 10:30:00,5.54,5.61,5.53,5.58,30244000,5.691999999999999,
2025-09-08 11:30:00,5.57,5.63,5.57,5.61,14713700,5.689399999999999,
2025-09-08 14:00:00,5.62,5.62,5.58,5.61,6846600,5.6852,
2025-09-08 15:00:00,5.6,5.62,5.59,5.59,9580300,5.6812000000000005,
2025-09-09 10:30:00,5.6,5.63,5.57,5.58,14548300,5.676800000000001,
2025-09-09 11:30:00,5.58,5.59,5.57,5.58,6156800,5.6722,
2025-09-09 14:00:00,5.58,5.58,5.54,5.55,9576700,5.668200000000001,
2025-09-09 15:00:00,5.55,5.58,5.55,5.57,4988700,5.664,
2025-09-10 10:30:00,5.57,5.57,5.53,5.54,10685000,5.659199999999999,
2025-09-10 11:30:00,5.53,5.56,5.53,5.56,6338000,5.654399999999999,
2025-09-10 14:00:00,5.55,5.56,5.54,5.56,4664600,5.6486,
2025-09-10 15:00:00,5.55,5.57,5.55,5.56,5285100,5.6424,
2025-09-11 10:30:00,5.55,5.57,5.54,5.54,8483900,5.636,
2025-09-11 11:30:00,5.54,5.57,5.53,5.56,8665400,5.6298,
2025-09-11 14:00:00,5.57,5.58,5.56,5.57,7852100,5.624199999999999,
2025-09-11 15:00:00,5.58,5.59,5.57,5.58,9113800,5.6178,
2025-09-12 10:30:00,5.6,5.6,5.57,5.59,9651800,5.6122000000000005,
2025-09-12 11:30:00,5.59,5.6,5.57,5.59,7748600,5.6068,
2025-09-12 14:00:00,5.59,5.6,5.57,5.59,8353300,5.601600000000001,
2025-09-12 15:00:00,5.58,5.59,5.57,5.58,7122000,5.596,
2025-09-15 10:30:00,5.58,5.61,5.56,5.57,12073300,5.5922,
2025-09-15 11:30:00,5.57,5.6,5.56,5.6,8275700,5.589000000000001,
2025-09-15 14:00:00,5.6,5.61,5.58,5.6,7179100,5.586,
2025-09-15 15:00:00,5.59,5.6,5.58,5.59,4301900,5.5834,
2025-09-16 10:30:00,5.6,5.62,5.57,5.58,11333200,5.5813999999999995,
2025-09-16 11:30:00,5.57,5.6,5.57,5.6,8429900,5.578599999999999,
2025-09-16 14:00:00,5.6,5.62,5.59,5.6,9416500,5.5766,
2025-09-16 15:00:00,5.61,5.61,5.59,5.6,8619500,5.5756000000000006,
2025-09-17 10:30:00,5.61,5.63,5.59,5.62,14983800,5.5748,
2025-09-17 11:30:00,5.63,5.66,5.62,5.64,13770900,5.5748,
2025-09-17 14:00:00,5.64,5.68,5.64,5.67,16209500,5.5758,
2025-09-17 15:00:00,5.67,5.67,5.65,5.66,9190700,5.5774,
2025-09-18 10:30:00,5.66,5.67,5.61,5.62,16596300,5.578199999999999,
2025-09-18 11:30:00,5.61,5.62,5.59,5.61,10242100,5.5784,
2025-09-18 14:00:00,5.6,5.61,5.56,5.57,12154500,5.5778,
2025-09-18 15:00:00,5.56,5.57,5.53,5.56,15090600,5.5767999999999995,
2025-09-19 10:30:00,5.56,5.57,5.53,5.53,12337400,5.5752,
2025-09-19 11:30:00,5.53,5.54,5.52,5.53,6118700,5.5736,
2025-09-19 14:00:00,5.54,5.55,5.52,5.54,10528700,5.5733999999999995,
2025-09-19 15:00:00,5.54,5.57,5.53,5.56,6859200,5.573199999999999,
2025-09-22 10:30:00,5.57,5.57,5.51,5.55,13741000,5.5733999999999995,
2025-09-22 11:30:00,5.54,5.55,5.52,5.53,4696000,5.5728,
2025-09-22 14:00:00,5.52,5.54,5.51,5.53,4482200,5.573199999999999,
2025-09-22 15:00:00,5.53,5.55,5.51,5.54,5497000,5.5738,
2025-09-23 10:30:00,5.54,5.61,5.5,5.53,27324100,5.573199999999999,
2025-09-23 11:30:00,5.53,5.55,5.52,5.52,6362400,5.5724,
2025-09-23 14:00:00,5.52,5.56,5.51,5.56,7228200,5.573200000000001,
2025-09-23 15:00:00,5.55,5.57,5.55,5.56,6777600,5.574200000000001,
2025-09-24 10:30:00,5.54,5.59,5.52,5.53,15603800,5.5744,
2025-09-24 11:30:00,5.53,5.54,5.52,5.54,5944300,5.5746,
2025-09-24 14:00:00,5.54,5.55,5.53,5.55,4607200,5.574,
2025-09-24 15:00:00,5.55,5.55,5.53,5.55,8998100,5.5728,
2025-09-25 10:30:00,5.53,5.54,5.49,5.5,20587300,5.5706,
2025-09-25 11:30:00,5.5,5.52,5.5,5.5,4661500,5.5687999999999995,
2025-09-25 14:00:00,5.51,5.51,5.49,5.49,9721500,5.566999999999999,
2025-09-25 15:00:00,5.49,5.52,5.49,5.51,8041700,5.5656,
2025-09-26 10:30:00,5.49,5.5,5.47,5.48,11990200,5.5642,
2025-09-26 11:30:00,5.49,5.5,5.48,5.49,6141900,5.5626,
2025-09-26 14:00:00,5.48,5.5,5.48,5.5,5488500,5.561800000000001,
2025-09-26 15:00:00,5.5,5.5,5.48,5.48,6596600,5.5602,5.66515
2025-09-29 10:30:00,5.48,5.49,5.42,5.43,17747200,5.5576,5.664
2025-09-29 11:30:00,5.43,5.44,5.42,5.43,7085400,5.555,5.662800000000001
2025-09-29 14:00:00,5.43,5.48,5.42,5.48,9837600,5.5538,5.6617
2025-09-29 15:00:00,5.48,5.49,5.45,5.47,9328500,5.552,5.6605
2025-09-30 10:30:00,5.47,5.48,5.44,5.47,9114800,5.55,5.659299999999999
2025-09-30 11:30:00,5.47,5.47,5.45,5.47,4599800,5.5478,5.65795
2025-09-30 14:00:00,5.47,5.48,5.46,5.47,4270500,5.5454,5.6566
2025-09-30 15:00:00,5.47,5.48,5.45,5.45,6964400,5.5426,5.655
2025-10-09 10:30:00,5.47,5.49,5.44,5.49,17510600,5.5405999999999995,5.6536
2025-10-09 11:30:00,5.49,5.51,5.48,5.5,10150800,5.539,5.652200000000001
2025-10-09 14:00:00,5.51,5.52,5.5,5.51,9042000,5.5378,5.6509
2025-10-09 15:00:00,5.51,5.54,5.51,5.53,16786200,5.5363999999999995,5.6498
2025-10-10 10:30:00,5.52,5.55,5.51,5.54,15216500,5.5352,5.64855
2025-10-10 11:30:00,5.54,5.55,5.53,5.54,4268400,5.534199999999999,5.64735
2025-10-10 14:00:00,5.53,5.56,5.53,5.55,7518000,5.5336,5.6463
2025-10-10 15:00:00,5.55,5.57,5.54,5.55,9017400,5.532600000000001,5.6451
2025-10-13 10:30:00,5.49,5.49,5.44,5.49,25146600,5.530399999999999,5.64365
2025-10-13 11:30:00,5.48,5.49,5.47,5.48,4984000,5.528,5.6423000000000005
2025-10-13 14:00:00,5.49,5.53,5.47,5.53,8769400,5.5262,5.64125
2025-10-13 15:00:00,5.52,5.53,5.51,5.52,6709900,5.5238,5.64025
2025-10-14 10:30:00,5.53,5.57,5.52,5.56,20784400,5.521599999999999,5.63945
2025-10-14 11:30:00,5.56,5.6,5.55,5.59,14381300,5.5202,5.63885
2025-10-14 14:00:00,5.59,5.61,5.57,5.61,13792500,5.52,5.638400000000001
2025-10-14 15:00:00,5.6,5.61,5.58,5.6,10842800,5.5198,5.637899999999999
2025-10-15 10:30:00,5.6,5.62,5.56,5.56,18081600,5.5196000000000005,5.637299999999999
2025-10-15 11:30:00,5.56,5.57,5.54,5.55,5974700,5.519399999999999,5.63665
2025-10-15 14:00:00,5.56,5.57,5.54,5.56,7083600,5.52,5.6359
2025-10-15 15:00:00,5.57,5.58,5.56,5.57,8031300,5.5207999999999995,5.6353
2025-10-16 10:30:00,5.57,5.6,5.56,5.59,8923600,5.521800000000001,5.634449999999999
2025-10-16 11:30:00,5.6,5.6,5.58,5.59,5123700,5.5224,5.633500000000001
2025-10-16 14:00:00,5.59,5.6,5.57,5.59,7501000,5.5232,5.6327
2025-10-16 15:00:00,5.59,5.61,5.59,5.59,9976000,5.524399999999999,5.631950000000001
2025-10-17 10:30:00,5.6,5.62,5.58,5.6,10831100,5.5258,5.631749999999999
2025-10-17 11:30:00,5.61,5.64,5.6,5.62,9178400,5.5274,5.6316999999999995
2025-10-17 14:00:00,5.62,5.62,5.59,5.6,6045400,5.5288,5.63145
2025-10-17 15:00:00,5.6,5.6,5.56,5.57,8549700,5.529799999999999,5.63115
2025-10-20 10:30:00,5.59,5.59,5.51,5.52,16704100,5.529,5.6305499999999995
2025-10-20 11:30:00,5.53,5.55,5.52,5.54,5222900,5.528599999999999,5.6301
2025-10-20 14:00:00,5.54,5.56,5.53,5.55,4818700,5.529,5.6297500000000005
2025-10-20 15:00:00,5.54,5.56,5.54,5.55,6796800,5.5291999999999994,5.6294
2025-10-21 10:30:00,5.55,5.58,5.53,5.57,12249100,5.5296,5.629099999999999
2025-10-21 11:30:00,5.57,5.58,5.55,5.57,5778600,5.53,5.62875
2025-10-21 14:00:00,5.57,5.58,5.56,5.56,4577200,5.5312,5.6283
2025-10-21 15:00:00,5.57,5.58,5.56,5.57,8883700,5.5325999999999995,5.62785
2025-10-22 10:30:00,5.56,5.6,5.56,5.6,12410600,5.534800000000001,5.6275
2025-10-22 11:30:00,5.6,5.61,5.59,5.59,6317700,5.5363999999999995,5.627000000000001
2025-10-22 14:00:00,5.59,5.6,5.59,5.6,3571200,5.5388,5.62655
2025-10-22 15:00:00,5.59,5.61,5.59,5.6,7604900,5.541,5.626099999999999
2025-10-23 10:30:00,5.61,5.66,5.6,5.64,19098000,5.5438,5.625850000000001
2025-10-23 11:30:00,5.63,5.69,5.63,5.68,18599200,5.5478000000000005,5.62575
2025-10-23 14:00:00,5.67,5.68,5.65,5.66,6255700,5.5524000000000004,5.6255999999999995
2025-10-23 15:00:00,5.65,5.68,5.65,5.67,9994700,5.5572,5.62545
2025-10-24 10:30:00,5.67,5.68,5.62,5.63,13017000,5.5602,5.6251
2025-10-24 11:30:00,5.64,5.65,5.62,5.64,3937200,5.5636,5.62465
2025-10-24 14:00:00,5.63,5.64,5.62,5.62,4717000,5.566599999999999,5.624100000000001
2025-10-24 15:00:00,5.62,5.63,5.6,5.62,11625300,5.5696,5.62345
2025-10-27 10:30:00,5.64,5.65,5.58,5.64,18024800,5.5729999999999995,5.6229000000000005
2025-10-27 11:30:00,5.63,5.68,5.63,5.68,9859400,5.5776,5.6225
2025-10-27 14:00:00,5.67,5.68,5.66,5.66,6127100,5.581,5.6221000000000005
2025-10-27 15:00:00,5.67,5.67,5.65,5.67,8893100,5.5844,5.621700000000001
2025-10-28 10:30:00,5.66,5.69,5.62,5.64,14779200,5.587000000000001,5.6212
2025-10-28 11:30:00,5.64,5.65,5.63,5.64,5829600,5.5892,5.62065
2025-10-28 14:00:00,5.64,5.68,5.64,5.66,7353200,5.591600000000001,5.6202
2025-10-28 15:00:00,5.66,5.68,5.65,5.67,9633900,5.5942,5.619800000000001
2025-10-29 10:30:00,5.66,5.67,5.61,5.63,11753000,5.5958,5.619150000000001
2025-10-29 11:30:00,5.63,5.64,5.61,5.63,4419400,5.597399999999999,5.61845
2025-10-29 14:00:00,5.63,5.65,5.63,5.63,4005600,5.6002,5.617700000000001
2025-10-29 15:00:00,5.64,5.65,5.63,5.64,5581200,5.603400000000001,5.617049999999999
